name,author,numAvail
To Kill a Mockingbird,Harper Lee,4
1984,George Orwell,1
Animal Farm,George Orwell,1
The Great Gatsby,F. Scott Fitzgerald,4
Pride and Prejudice,Jane Austen,1
The Catcher in the Rye,J.D. Salinger,2
The Lord of the Rings,J.R.R. Tolkien,3
The Hobbit,J.R.R. Tolkien,1
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1
Brave New World,Aldous Huxley,2
The Chronicles of Narnia,C.S. Lewis,2
The Hunger Games,Suzanne Collins,2
The Da Vinci Code,Dan Brown,4
Lord of the Flies,William Golding,4
Gone with the Wind,Margaret Mitchell,1
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1
Jane Eyre,Charlotte Brontë,3
The Shining,Stephen King,2
The Stand,Stephen King,4
The Diary of a Young Girl,Anne Frank,4
The Alchemist,Paulo Coelho,2
A Tale of Two Cities,Charles Dickens,4
The Girl with the Dragon Tattoo,Stieg Larsson,4
Moby-Dick,Herman Melville,2
The Picture of Dorian Gray,Oscar Wilde,3
The Road,Cormac McCarthy,1
The Grapes of Wrath,John Steinbeck,4
East of Eden,John Steinbeck,1
The Kite Runner,Khaled Hosseini,3
A Thousand Splendid Suns,Khaled Hosseini,2
The Adventures of Huckleberry Finn,Mark Twain,4
The Secret Garden,Frances Hodgson Burnett,2
Wuthering Heights,Emily Brontë,1
The Little Prince,Antoine de Saint-Exupéry,4
Fahrenheit 451,Ray Bradbury,2
The Count of Monte Cristo,Alexandre Dumas,4
One Hundred Years of Solitude,Gabriel García Márquez,2
The Book Thief,Markus Zusak,2
The Bell Jar,Sylvia Plath,3
Frankenstein,Mary Shelley,3
Anna Karenina,Leo Tolstoy,4
The Outsiders,S.E. Hinton,1
The Night Circus,Erin Morgenstern,2
The Name of the Wind,Patrick Rothfuss,1
The Old Man and the Sea,Ernest Hemingway,2
The Sun Also Rises,Ernest Hemingway,3
A Farewell to Arms,Ernest Hemingway,4
Little Women,Louisa May Alcott,1
A Game of Thrones,George R.R. Martin,2
Dracula,Bram Stoker,3
The Handmaid's Tale,Margaret Atwood,3
The Road Less Traveled,M. Scott Peck,1
The Scarlet Letter,Nathaniel Hawthorne,3
The Help,Kathryn Stockett,4
The Martian,Andy Weir,4
The Brothers Karamazov,Fyodor Dostoevsky,4
The Poisonwood Bible,Barbara Kingsolver,3
A Clockwork Orange,Anthony Burgess,2
The Fault in Our Stars,John Green,3
Middlemarch,George Eliot,4
The Color Purple,Alice Walker,3
The Joy Luck Club,Amy Tan,4
The Sound and the Fury,William Faulkner,2
Les Misérables,Victor Hugo,4
The Giver,Lois Lowry,1
Beloved,Toni Morrison,1
The Lovely Bones,Alice Sebold,1
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4
The Time Traveler's Wife,Audrey Niffenegger,4
The Odyssey,Homer,1
A Prayer for Owen Meany,John Irving,2
The Jungle,Upton Sinclair,3
A Tree Grows in Brooklyn,Betty Smith,3
The Pillars of the Earth,Ken Follett,4
The Glass Castle,Jeannette Walls,2
The Goldfinch,Donna Tartt,1
The Secret Life of Bees,Sue Monk Kidd,4
Life of Pi,Yann Martel,4
The Wind-Up Bird Chronicle,Haruki Murakami,4
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2
The Hitchhiker's Guide to the Galaxy,Douglas Adam,2
