name
Harper Lee
George Orwell
F. Scott Fitzgerald
Jane Austen
J.D. Salinger
J.R.R. Tolkien
J.K. Rowling
Aldous Huxley
C.S. Lewis
Suzanne Collins
Dan Brown
William Golding
Margaret Mitchell
Douglas Adams
Charlotte Brontë
Stephen King
Anne Frank
Paulo Coelho
Charles Dickens
Stieg Larsson
Herman Melville
Oscar Wilde
Cormac McCarthy
John Steinbeck
Khaled Hosseini
Mark Twain
Frances Hodgson Burnett
Emily Brontë
Antoine de Saint-Exupéry
Ray Bradbury
Alexandre Dumas
Gabriel García Márquez
Markus Zusak
Sylvia Plath
Mary Shelley
Leo Tolstoy
S.E. Hinton
Erin Morgenstern
Patrick Rothfuss
Ernest Hemingway
Louisa May Alcott
George R.R. Martin
Bram Stoker
Margaret Atwood
M. Scott Peck
Nathaniel Hawthorne
Kathryn Stockett
Andy Weir
Fyodor Dostoevsky
Barbara Kingsolver
Anthony Burgess
John Green
George Eliot
Alice Walker
Amy Tan
William Faulkner
Victor Hugo
Lois Lowry
Toni Morrison
Alice Sebold
Arthur Conan Doyle
Audrey Niffenegger
Homer
John Irving
Upton Sinclair
Betty Smith
Ken Follett
Jeannette Walls
Donna Tartt
Sue Monk Kidd
Yann Martel
Haruki Murakami
Rebecca Skloot
Douglas Adam
